time_inclusion,affordance_indicator,AIC,BIC,f_statistic,f_pvalue
t-1,a1,-1837436.64556,-1829517.29986,122700.442471,0.0
t-1,a2,-160721.356112,-152802.01041,1969.80797834,0.0
t-1,a3,-226704.01498,-218784.669278,12191.8260856,0.0
t-1,a4,-103829.987371,-95910.6416687,9653.1038896,0.0
t-1,a5,-249495.558932,-241576.21323,15389.8566512,0.0
t-1,a6,-226684.36809,-218765.022388,14457.9179386,0.0
t-1,a7,-244490.9169,-236571.571198,4728.81428673,0.0
t-1,a8,-295366.056432,-287446.71073,9073.61438394,0.0
t-1,a9,-338145.47395,-330226.128248,4752.10089948,0.0
t-1,a10,2503.88985239,10423.2355545,5470.92092434,0.0
t-1,a11,-168188.186301,-160268.840598,10449.9173911,0.0
t-1,a12,-124996.138773,-117076.793071,6351.4656049,0.0
t-1,a13,-52135.7919979,-44216.4462958,8016.49615384,0.0
t-1,a14,252621.331535,260540.677237,1257.2944777,0.0
t-2,a1,-1875611.23203,-1863732.21569,88604.9652051,0.0
t-2,a2,-224445.392048,-212566.375704,1562.98062356,0.0
t-2,a3,-286914.022905,-275035.006561,9269.89075181,0.0
t-2,a4,-162695.532537,-150816.516192,7330.5866853,0.0
t-2,a5,-287817.760922,-275938.744578,11149.8371155,0.0
t-2,a6,-259453.370854,-247574.35451,10352.4807712,0.0
t-2,a7,-306170.646674,-294291.63033,3644.91257395,0.0
t-2,a8,-347926.433638,-336047.417294,6799.16486776,0.0
t-2,a9,-397315.19877,-385436.182426,3641.32241976,0.0
t-2,a10,-31312.5310015,-19433.5146574,3946.98518953,0.0
t-2,a11,-195792.382184,-183913.36584,7407.36732504,0.0
t-2,a12,-153123.419347,-141244.403003,4518.21549869,0.0
t-2,a13,-76501.2942912,-64622.2779472,5647.8962281,0.0
t-2,a14,239187.248875,251066.265219,875.745975898,0.0
t-3,a1,-1907203.45329,-1891364.76778,71004.1430108,0.0
t-3,a2,-242031.722239,-226193.036726,1229.45557668,0.0
t-3,a3,-304496.765426,-288658.079913,7227.49399992,0.0
t-3,a4,-180137.304464,-164298.618951,5716.42902203,0.0
t-3,a5,-305493.529643,-289654.84413,8692.33622341,0.0
t-3,a6,-274520.12946,-258681.443946,8026.519689,0.0
t-3,a7,-334387.984606,-318549.299093,2920.45356891,0.0
t-3,a8,-362363.060294,-346524.374781,5268.10997049,0.0
t-3,a9,-413485.63022,-397646.944707,2837.69361352,0.0
t-3,a10,-50982.4892291,-35143.8037158,3099.61395637,0.0
t-3,a11,-213832.530844,-197993.84533,5783.72584293,0.0
t-3,a12,-169319.598828,-153480.913315,3518.36408543,0.0
t-3,a13,-94130.3011472,-78291.6156339,4409.06375108,0.0
t-3,a14,228833.235663,244671.921177,679.289632635,0.0
t-4,a1,-1934210.04125,-1914411.68804,60117.7149199,0.0
t-4,a2,-246647.307596,-226848.954386,996.695175589,0.0
t-4,a3,-310775.166699,-290976.813489,5865.5820706,0.0
t-4,a4,-186000.714401,-166202.361191,4635.87256697,0.0
t-4,a5,-314997.963285,-295199.610075,7102.50297132,0.0
t-4,a6,-282860.556191,-263062.202981,6542.52744106,0.0
t-4,a7,-347022.835002,-327224.481793,2407.36438746,0.0
t-4,a8,-367378.204109,-347579.850899,4264.65454727,0.0
t-4,a9,-418239.141694,-398440.788484,2297.27932227,0.0
t-4,a10,-64779.8588561,-44981.5056463,2561.37117867,0.0
t-4,a11,-226655.043843,-206856.690633,4762.13550556,0.0
t-4,a12,-181221.628896,-161423.275686,2893.89475834,0.0
t-4,a13,-108280.768926,-88482.4157161,3642.8099552,0.0
t-4,a14,220388.337742,240186.690952,558.54104341,0.0
t-5,a1,-1957715.77297,-1933957.75354,52637.3493461,0.0
t-5,a2,-249005.620165,-225247.600731,836.675861253,0.0
t-5,a3,-314670.429917,-290912.410483,4933.17588742,0.0
t-5,a4,-189194.358014,-165436.338581,3893.42829182,0.0
t-5,a5,-321221.350978,-297463.331545,6002.85911552,0.0
t-5,a6,-288325.945354,-264567.925921,5520.84564125,0.0
t-5,a7,-353802.544845,-330044.525411,2039.38905951,0.0
t-5,a8,-370596.263623,-346838.24419,3582.00724484,0.0
t-5,a9,-420486.051472,-396728.032039,1926.08759982,0.0
t-5,a10,-75189.8690957,-51431.8496622,2187.63467462,0.0
t-5,a11,-235887.968495,-212129.949061,4052.38195336,0.0
t-5,a12,-190488.774418,-166730.754984,2464.60687849,0.0
t-5,a13,-119801.245637,-96043.2262031,3116.71320069,0.0
t-5,a14,213315.99866,237074.018094,476.279961007,0.0
t-6,a1,-1978245.14752,-1950527.46334,47112.7112546,0.0
t-6,a2,-250628.252414,-222910.56823,721.016364601,0.0
t-6,a3,-317897.169882,-290179.485698,4261.36244415,0.0
t-6,a4,-191650.786952,-163933.102768,3357.89451147,0.0
t-6,a5,-325706.593655,-297988.90947,5199.01324576,0.0
t-6,a6,-292401.588965,-264683.90478,4777.51149542,0.0
t-6,a7,-358044.228914,-330326.54473,1766.68308952,0.0
t-6,a8,-372911.098305,-345193.414121,3088.45855293,0.0
t-6,a9,-421971.516202,-394253.832018,1658.09326874,0.0
t-6,a10,-83314.3977574,-55596.7135728,1911.75335564,0.0
t-6,a11,-242683.948612,-214966.264428,3528.09594824,0.0
t-6,a12,-197436.39718,-169718.712996,2147.65417657,0.0
t-6,a13,-128974.604477,-101256.920293,2728.46926422,0.0
t-6,a14,207253.097623,234970.781807,416.392606404,0.0
