time_inclusion,affordance_indicator,AIC,BIC,f_statistic,f_pvalue
t,a1,-1780057.28931,-1776097.61572,217695.098749,0.0
t,a2,-43929.8748601,-39970.2012727,2801.86486084,0.0
t,a3,-104942.629062,-100982.955475,18651.3272727,0.0
t,a4,13537.3562199,17497.0298073,14850.6906823,0.0
t,a5,-187903.658594,-183943.985007,26924.0393929,0.0
t,a6,-170147.945993,-166188.272405,25562.9907302,0.0
t,a7,-148053.203487,-144093.5299,7499.54257199,0.0
t,a8,-192208.368478,-188248.69489,14396.5739159,0.0
t,a9,-228509.26992,-224549.596333,7298.78015333,0.0
t,a10,58064.331925,62024.0055124,9601.18520577,0.0
t,a11,-125918.165755,-121958.492167,19025.602622,0.0
t,a12,-79216.7392086,-75257.0656211,11425.7529717,0.0
t,a13,-14375.0005261,-10415.3269386,14717.1957252,0.0
t,a14,274586.947027,278546.620614,2339.44413449,0.0
