iteration,testing_loss,training_loss
201,0.0781208,0.0566997
202,0.0891865,0.0439387
203,0.0783411,0.0280595
204,0.0770182,0.0272464
205,0.0842273,0.021843
206,0.0854494,0.0171938
207,0.0907365,0.0184225
208,0.0789718,0.0270707
209,0.0893522,0.0235371
210,0.0762015,0.021971
211,0.0734627,0.0262447
212,0.0796695,0.0119641
213,0.0846822,0.0375524
214,0.0851223,0.0271697
215,0.0769247,0.0246792
216,0.0795857,0.0179745
217,0.0808319,0.0241807
218,0.0803956,0.0178863
219,0.0772662,0.0262969
220,0.0784483,0.018095
221,0.0809805,0.0281503
222,0.0812191,0.0216677
223,0.0792674,0.0206507
224,0.0833345,0.0185387
225,0.0827302,0.0201967
226,0.0833926,0.0174561
227,0.0845806,0.0180143
228,0.0776166,0.0273402
229,0.0794794,0.0230274
230,0.0789156,0.0218106
231,0.0788337,0.0316278
232,0.0806431,0.0348567
233,0.0744835,0.0350577
234,0.07016,0.0226616
235,0.0767468,0.0391629
236,0.0729002,0.028588
237,0.0809358,0.0228258
238,0.0833367,0.0306235
239,0.0703732,0.0208774
240,0.0714054,0.0283272
241,0.07848,0.0263106
242,0.0848196,0.0180124
243,0.0771396,0.0205016
244,0.0796354,0.031894
245,0.0723013,0.0368206
246,0.0761515,0.0268406
247,0.0772568,0.0174135
248,0.0766866,0.0173905
249,0.082373,0.0248448
250,0.0722139,0.0196338
251,0.0786471,0.0161717
252,0.0756295,0.0212209
253,0.0774885,0.0225306
254,0.0801998,0.0191342
255,0.0758065,0.0222762
256,0.0779879,0.0180353
257,0.0795735,0.0156167
258,0.0767872,0.0233923
259,0.0750818,0.0168486
260,0.0767248,0.0240242
261,0.078,0.0313703
262,0.0758625,0.0164991
263,0.0791976,0.0184932
264,0.0764486,0.0201297
265,0.0732618,0.0269433
266,0.0770105,0.0180179
267,0.0756423,0.0250793
268,0.0830343,0.0168456
269,0.0763551,0.0196168
270,0.0757029,0.0262229
271,0.076434,0.0224397
272,0.0731486,0.0265115
273,0.0703011,0.0232461
274,0.0784515,0.0154374
275,0.07566,0.0182383
276,0.0724601,0.0264326
277,0.0784001,0.0150821
278,0.0820982,0.0138744
279,0.0701353,0.0174229
280,0.0702676,0.0181329
281,0.0811714,0.0190612
282,0.0792814,0.0216819
283,0.0820491,0.0218186
284,0.076661,0.0176002
285,0.0822764,0.0207838
286,0.0755982,0.0202863
287,0.07816,0.0154635
288,0.0788076,0.0294782
289,0.088092,0.0166787
290,0.0684923,0.00840294
291,0.0794851,0.014931
292,0.0705482,0.0159235
293,0.0704474,0.0136038
294,0.0744085,0.0197951
295,0.0754835,0.019395
296,0.0742183,0.0117898
297,0.0720506,0.0195005
298,0.0747632,0.0208227
299,0.0861797,0.0278015
300,0.0789037,0.0201548
301,0.0673921,0.0158076
302,0.0709761,0.0143844
303,0.0805776,0.0226328
304,0.0705993,0.013895
305,0.0774496,0.020271
306,0.0690261,0.0113798
307,0.0691457,0.0232869
308,0.0716549,0.0193379
309,0.0703341,0.0114337
310,0.0711255,0.0204347
311,0.076359,0.0150909
312,0.0761697,0.0157292
313,0.084394,0.0165103
314,0.0761605,0.0157389
315,0.0739503,0.0230353
316,0.0747732,0.0134462
317,0.0684581,0.0201215
318,0.074078,0.0230589
319,0.0793506,0.0131472
320,0.0711962,0.0161247
321,0.0789131,0.0173956
322,0.0802786,0.0183747
323,0.076279,0.0146476
324,0.0724591,0.0154072
325,0.0745045,0.0261372
326,0.0743264,0.0133698
327,0.0786686,0.0173906
328,0.0731177,0.0252681
329,0.0752332,0.018605
330,0.0737224,0.0221363
331,0.0757777,0.0123878
332,0.0713951,0.0199405
333,0.0724834,0.0175957
334,0.0721373,0.0209923
335,0.0716142,0.0256048
336,0.0694975,0.018515
337,0.0699749,0.016303
338,0.0764629,0.0164334
339,0.0785134,0.023305
340,0.0764391,0.0181787
341,0.0734056,0.0141293
342,0.0745545,0.0153569
343,0.069203,0.0217713
344,0.0681584,0.0193341
345,0.0750205,0.0196056
346,0.0764268,0.0247658
347,0.072291,0.0151391
348,0.0824034,0.01335
349,0.0722971,0.0237778
350,0.0712676,0.0110625
351,0.0791294,0.0153958
352,0.0772656,0.0139449
353,0.0707538,0.0145564
354,0.0761219,0.023904
355,0.0772185,0.00955451
356,0.072175,0.012651
357,0.0668845,0.0197096
358,0.0798608,0.0146685
359,0.0675624,0.0158305
360,0.0635086,0.0200762
361,0.061302,0.0131918
362,0.0749235,0.0157472
363,0.074486,0.0174658
364,0.0659505,0.0188282
365,0.0736062,0.0155139
366,0.0695719,0.0136192
367,0.0717871,0.0105934
368,0.0765906,0.0119731
369,0.0711612,0.0142873
370,0.0777185,0.0168401
371,0.0745124,0.0101637
372,0.076147,0.0105989
373,0.0730648,0.0110773
374,0.0739504,0.0177156
375,0.0717727,0.0173589
376,0.0761312,0.0118545
377,0.0687713,0.0140636
378,0.0707529,0.0120059
379,0.0759402,0.016563
380,0.0642472,0.0162944
381,0.0682204,0.0112409
382,0.0752268,0.017305
383,0.0727097,0.013263
384,0.0728061,0.0200815
385,0.0726197,0.0131365
386,0.0770357,0.013738
387,0.0760776,0.012109
388,0.0645376,0.0101435
389,0.0682761,0.0150587
390,0.0761495,0.0196426
391,0.0715642,0.0121847
392,0.0750962,0.00956861
393,0.0750526,0.0137196
394,0.0783132,0.0122791
395,0.0710383,0.012822
396,0.0669243,0.0142173
397,0.07555,0.0171258
398,0.0780256,0.0208308
399,0.0734365,0.0122489
400,0.0739394,0.0149856
