iteration,testing_loss,training_loss
501,0.0653422,0.0348017
502,0.0748828,0.0244129
503,0.0716963,0.0143325
504,0.0688985,0.0144003
505,0.0939141,0.0327743
506,0.0703377,0.0210175
507,0.070113,0.0327238
508,0.0613219,0.0174871
509,0.0714309,0.0304625
510,0.0582454,0.0139465
511,0.0662433,0.0223235
512,0.0614774,0.0268458
513,0.0722579,0.0299016
514,0.0679715,0.01711
515,0.0684799,0.0191758
516,0.0702499,0.0297313
517,0.0750728,0.0141678
518,0.0829918,0.0149602
519,0.0720799,0.0198322
520,0.0709183,0.0237265
521,0.0710682,0.0199952
522,0.0941167,0.0252429
523,0.0678731,0.0288958
524,0.0765486,0.0331187
525,0.0815769,0.0288863
526,0.0681907,0.02382
527,0.0783697,0.040245
528,0.0727247,0.0190404
529,0.0687231,0.023335
530,0.0788811,0.0273832
531,0.0819941,0.0237301
532,0.0691842,0.0298237
533,0.0667426,0.0258609
534,0.0725264,0.0275266
535,0.0783621,0.0306584
536,0.0858647,0.0387328
537,0.080967,0.0416316
538,0.0924863,0.0345581
539,0.0805947,0.0156035
540,0.0842529,0.0231266
541,0.0765042,0.0297161
542,0.0769968,0.0315543
543,0.0871877,0.0587845
544,0.0842051,0.0359405
545,0.084126,0.034321
546,0.0820504,0.0224227
547,0.0899316,0.0364124
548,0.0880829,0.0357206
549,0.084017,0.034686
550,0.0818673,0.0331097
551,0.0855431,0.034613
552,0.0955452,0.0417744
553,0.0764141,0.0303647
554,0.0911046,0.0387959
555,0.0907391,0.0360408
556,0.0924306,0.0368815
557,0.0927275,0.0306165
558,0.0866298,0.0400612
559,0.0889608,0.0451763
560,0.0908281,0.0698997
561,0.118617,0.101176
562,0.108994,0.0499299
563,0.100772,0.0991123
564,0.120254,0.0654065
565,0.101503,0.0615768
566,0.102031,0.0656281
567,0.12704,0.0688298
568,0.131059,0.0924837
569,0.135893,0.0651827
570,0.138263,0.0842182
571,0.114077,0.14382
572,0.17633,0.0981436
573,0.127988,0.117344
574,0.135451,0.140523
575,0.239741,0.307716
576,0.204411,0.251333
577,0.300499,0.365922
578,0.292913,0.273814
579,0.280111,0.290188
580,0.314839,0.2633
581,0.295954,0.351533
582,0.379181,0.309634
583,0.299704,0.232709
584,0.311074,0.344134
585,0.316185,0.416628
586,0.29571,0.310055
587,0.310781,0.341666
588,0.326704,0.355146
589,0.325246,0.278025
590,0.309385,0.438455
591,0.310252,0.264925
592,0.31397,0.349284
593,0.293969,0.363254
594,0.310722,0.332278
595,0.304523,0.255855
596,0.327066,0.274963
597,0.357554,0.216406
598,0.303665,0.364787
599,0.283089,0.323022
600,0.328603,0.305778
601,0.333822,0.353687
602,0.273884,0.323299
603,0.314765,0.199959
604,0.295622,0.368772
605,0.350248,0.304918
606,0.329386,0.342227
607,0.316471,0.316225
608,0.317728,0.380946
609,0.303093,0.348353
610,0.337666,0.300925
611,0.325316,0.287011
612,0.307807,0.33408
613,0.332621,0.419115
614,0.302577,0.303877
615,0.326836,0.287923
616,0.29966,0.275468
617,0.337909,0.216286
618,0.322959,0.367528
619,0.321439,0.329531
620,0.320627,0.305834
621,0.298538,0.320911
622,0.300906,0.37068
623,0.308923,0.264366
624,0.336544,0.384256
625,0.318216,0.309815
626,0.301779,0.395297
627,0.348239,0.326727
628,0.311626,0.289132
629,0.314207,0.300065
630,0.33869,0.260292
631,0.338468,0.327276
632,0.301588,0.360165
633,0.354425,0.310339
634,0.336362,0.336491
635,0.311875,0.360249
636,0.292853,0.32812
637,0.302431,0.287164
638,0.319255,0.376724
639,0.30779,0.434257
640,0.294249,0.350233
641,0.295439,0.259996
642,0.29506,0.29615
643,0.297543,0.344543
644,0.311993,0.355008
645,0.308528,0.237596
646,0.311186,0.269352
647,0.293502,0.307909
648,0.338953,0.284209
649,0.298649,0.344236
650,0.292167,0.281794
651,0.352716,0.288842
652,0.297228,0.247333
653,0.305893,0.360762
654,0.300149,0.284862
655,0.313168,0.337098
656,0.326819,0.384798
657,0.291084,0.226928
658,0.360711,0.363112
659,0.306759,0.358221
660,0.305774,0.295626
661,0.318865,0.302274
662,0.312591,0.392739
663,0.322551,0.232747
664,0.307733,0.325611
665,0.302274,0.31539
666,0.306871,0.356402
667,0.300674,0.371169
668,0.321086,0.319742
669,0.34107,0.266946
670,0.308846,0.317164
671,0.320455,0.286258
672,0.318815,0.268743
673,0.332808,0.324889
674,0.327694,0.393476
675,0.34593,0.428142
676,0.299044,0.234982
677,0.323259,0.309165
678,0.296825,0.364991
679,0.337503,0.252244
680,0.313762,0.257877
681,0.305473,0.36699
682,0.30855,0.210736
683,0.315288,0.29266
684,0.301629,0.29695
685,0.324104,0.339837
686,0.324355,0.287142
687,0.340003,0.360759
688,0.28019,0.340809
689,0.302551,0.394336
690,0.363064,0.486483
691,0.290733,0.341734
692,0.335765,0.227812
693,0.289186,0.345455
694,0.290259,0.325577
695,0.326533,0.286568
696,0.322386,0.369375
697,0.32927,0.413826
698,0.333118,0.364342
699,0.304372,0.396109
700,0.309468,0.357627
701,0.292968,0.307474
702,0.31795,0.391985
703,0.321078,0.372394
704,0.319853,0.298445
705,0.324798,0.246161
706,0.299408,0.316445
707,0.366565,0.342728
708,0.362189,0.282369
709,0.32816,0.317124
710,0.320672,0.263597
711,0.320947,0.274508
712,0.328923,0.338926
713,0.268875,0.303378
714,0.318969,0.338636
715,0.328502,0.367387
716,0.307675,0.287704
717,0.333401,0.28201
718,0.274745,0.295545
719,0.317267,0.234547
720,0.324982,0.290179
721,0.300842,0.342199
722,0.287059,0.298792
723,0.298908,0.317409
724,0.286742,0.407021
725,0.306476,0.294173
726,0.299484,0.296498
727,0.323088,0.367179
728,0.28279,0.248833
729,0.281064,0.259383
730,0.27428,0.292116
731,0.314925,0.312283
732,0.311516,0.394354
733,0.338475,0.263442
734,0.324759,0.337405
735,0.304527,0.316207
736,0.300774,0.272755
737,0.284498,0.303211
738,0.295807,0.300668
739,0.35684,0.300445
740,0.327189,0.334951
741,0.300579,0.387321
742,0.323885,0.276245
743,0.344257,0.331226
744,0.285429,0.259659
745,0.268652,0.360426
746,0.282818,0.33071
747,0.300609,0.329966
748,0.325132,0.267747
749,0.334739,0.257984
750,0.321552,0.28957
751,0.326379,0.322505
752,0.319184,0.313763
753,0.311168,0.246935
754,0.293416,0.283157
755,0.28757,0.287412
756,0.290725,0.317151
757,0.306789,0.322655
758,0.347652,0.344896
759,0.292025,0.309675
760,0.306729,0.294677
761,0.278313,0.292511
762,0.30467,0.358883
763,0.302518,0.418321
764,0.343972,0.275359
765,0.270822,0.306886
766,0.311571,0.304607
767,0.311032,0.372411
768,0.292341,0.30982
769,0.30833,0.354873
770,0.335686,0.207521
771,0.320325,0.338483
772,0.298607,0.31768
773,0.290201,0.234426
774,0.308276,0.293068
775,0.300415,0.32905
776,0.321338,0.346624
777,0.311744,0.330869
778,0.325249,0.277748
779,0.323927,0.309586
780,0.289731,0.311091
781,0.319881,0.32498
782,0.287636,0.349403
783,0.296591,0.327794
784,0.308266,0.237813
785,0.284461,0.311479
786,0.281779,0.279441
787,0.328877,0.338709
788,0.33219,0.322216
789,0.299435,0.30101
790,0.300889,0.310798
791,0.357569,0.226035
792,0.298624,0.316035
793,0.281542,0.389494
794,0.296224,0.310595
795,0.289134,0.264884
796,0.342643,0.255911
797,0.292718,0.208484
798,0.295249,0.267265
799,0.302651,0.224141
800,0.291324,0.219254
801,0.291162,0.37031
802,0.330261,0.3044
803,0.298735,0.225788
804,0.344386,0.367106
805,0.314858,0.313619
806,0.293696,0.265625
807,0.301909,0.187869
808,0.334606,0.311191
809,0.313902,0.297322
810,0.317798,0.272432
811,0.2888,0.331187
812,0.334325,0.397397
813,0.330937,0.311834
814,0.332091,0.271591
815,0.296586,0.254819
816,0.312869,0.296341
817,0.293621,0.300095
818,0.317137,0.346956
819,0.341214,0.369366
820,0.305577,0.311174
821,0.287859,0.397624
822,0.316601,0.294674
823,0.323302,0.317714
824,0.315611,0.411856
825,0.320809,0.273135
826,0.312337,0.326598
827,0.307532,0.189747
828,0.325552,0.293529
829,0.327729,0.276661
830,0.299135,0.365332
831,0.333922,0.23148
832,0.331133,0.310476
833,0.307485,0.323298
834,0.318498,0.261909
835,0.314281,0.31841
836,0.302756,0.342192
837,0.278065,0.289719
838,0.313706,0.343622
839,0.306689,0.36921
840,0.28873,0.319948
841,0.305582,0.334736
842,0.317555,0.308988
843,0.332199,0.225803
844,0.290779,0.279226
845,0.323573,0.321403
846,0.312468,0.384986
847,0.305856,0.267819
848,0.333145,0.315846
849,0.306505,0.319103
850,0.334284,0.27051
851,0.315513,0.404775
852,0.312664,0.330279
853,0.298474,0.283474
854,0.297502,0.292335
855,0.316889,0.43575
856,0.316737,0.336423
857,0.324788,0.260029
858,0.337498,0.290824
859,0.305311,0.231059
860,0.311398,0.377054
861,0.300804,0.301648
862,0.298147,0.330655
863,0.300709,0.340887
864,0.297778,0.289892
865,0.314892,0.290142
866,0.314186,0.268354
867,0.289158,0.372443
868,0.289167,0.338793
869,0.311121,0.333352
870,0.326251,0.250028
871,0.288411,0.357979
872,0.322983,0.390296
873,0.315306,0.26581
874,0.335443,0.260604
875,0.31034,0.348216
876,0.28371,0.376859
877,0.308094,0.258465
878,0.304984,0.271053
