iteration,testing_loss,training_loss
201,0.0909494,0.0598661
202,0.0769882,0.0635778
203,0.0858373,0.0348901
204,0.0865057,0.0313473
205,0.0847668,0.031257
206,0.0916054,0.0251028
207,0.0791081,0.0373247
208,0.0781289,0.026992
209,0.0852146,0.0320599
210,0.085188,0.0241708
211,0.0775168,0.0331889
212,0.0892424,0.03744
213,0.0792688,0.0211064
214,0.0804535,0.0329897
215,0.0959215,0.0267114
216,0.0899898,0.0234935
217,0.0759323,0.0312715
218,0.0863172,0.0195078
219,0.0776152,0.0283465
220,0.0764786,0.0227932
221,0.0826274,0.0290194
222,0.0766989,0.0134052
223,0.0804991,0.0248276
224,0.0735392,0.0219729
225,0.0761412,0.0283142
226,0.0778497,0.0215492
227,0.0801509,0.0216151
228,0.0781109,0.0201271
229,0.0791304,0.0146076
230,0.0847283,0.0157479
231,0.0828888,0.030105
232,0.0786008,0.0433169
233,0.078753,0.0304162
234,0.0817381,0.0327839
235,0.0821356,0.033228
236,0.0823519,0.0241397
237,0.0815064,0.0168331
238,0.0725078,0.0265871
239,0.0712167,0.0233564
240,0.0771566,0.0160769
241,0.0794033,0.0343962
242,0.0764847,0.0152789
243,0.0776885,0.0299529
244,0.0787581,0.0273669
245,0.0838746,0.0142325
246,0.076462,0.0252583
247,0.0862658,0.0272546
248,0.075445,0.0187425
249,0.0776582,0.021514
250,0.0747682,0.0227698
251,0.0710633,0.0190498
252,0.0743519,0.0269742
253,0.070728,0.0206611
254,0.081697,0.0202783
255,0.0796265,0.0200399
256,0.0787127,0.0164382
257,0.0754157,0.0161429
258,0.0726341,0.0194442
259,0.0756568,0.0262619
260,0.0652089,0.030188
261,0.0831925,0.0206207
262,0.0743849,0.022259
263,0.0808933,0.0189038
264,0.0767775,0.0181507
265,0.0722515,0.0117882
266,0.0843608,0.0224776
267,0.0749237,0.0135427
268,0.0709753,0.0226668
269,0.0845958,0.0160936
270,0.0707525,0.0250748
271,0.0806882,0.0322863
272,0.0736764,0.0198606
273,0.0737016,0.0198721
274,0.0688314,0.0251907
275,0.0650638,0.0223519
276,0.0802414,0.0159051
277,0.0804692,0.0295383
278,0.0838402,0.0211631
279,0.069777,0.0149007
280,0.082448,0.0176028
281,0.0761818,0.0223766
282,0.0784257,0.026176
283,0.0773987,0.0294551
284,0.0778204,0.0222831
285,0.0830954,0.0173559
286,0.0705931,0.0178007
287,0.0800067,0.0207811
288,0.0808471,0.0140465
289,0.0753335,0.0205876
290,0.0726403,0.0206178
291,0.0739801,0.0150759
292,0.0786339,0.0159424
293,0.0779137,0.0150215
294,0.073073,0.0195312
295,0.0717855,0.0166745
296,0.0755179,0.0171973
297,0.0739501,0.0195609
298,0.078719,0.0166051
299,0.0621317,0.0339804
300,0.067611,0.0165562
301,0.0790735,0.0236401
302,0.0724388,0.0215802
303,0.0704869,0.0163009
304,0.0760369,0.0151503
305,0.0706675,0.0155345
306,0.070948,0.0180192
307,0.0719535,0.0156633
308,0.0690398,0.0186951
309,0.0772185,0.0202902
310,0.0760014,0.014263
311,0.07475,0.0112232
312,0.0801477,0.0124718
313,0.0768631,0.0221856
314,0.0835015,0.0133785
315,0.0764082,0.016489
316,0.0722053,0.0221493
317,0.0732894,0.0155943
318,0.0770669,0.0124267
319,0.062895,0.0149222
320,0.0737418,0.0252287
321,0.0737929,0.0156989
322,0.069444,0.0207978
323,0.0745558,0.0192424
324,0.0742512,0.0218404
325,0.0708128,0.0194048
326,0.0730142,0.0202292
327,0.0794716,0.0214096
328,0.0698006,0.0325356
329,0.0749646,0.0207453
330,0.0719895,0.0132075
331,0.0719492,0.0166596
332,0.0751471,0.0199921
333,0.0724738,0.0203888
334,0.0727026,0.0179697
335,0.0759854,0.0158261
336,0.078189,0.0143057
337,0.0692808,0.0104099
338,0.0737626,0.0181181
339,0.0703989,0.0223886
340,0.0738161,0.0217254
341,0.073027,0.0162548
342,0.0710136,0.0198603
343,0.0679881,0.0169569
344,0.0809081,0.0185113
